id,budget,original_title,popularity,release_date,revenue,runtime,vote_average,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
199,46000000,Star Trek: First Contact,19.894,1996-11-22,150000000,111,7.3,1367,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
200,70000000,Star Trek: Insurrection,22.152,1998-12-11,118000000,103,6.4,903,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
201,60000000,Star Trek: Nemesis,25.056,2002-12-13,67312826,117,6.3,1086,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
203,500000,Mean Streets,12.127,1973-10-14,3000000,112,7.1,1622,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
204,0,Le Salaire de la peur,11.493,1953-04-22,0,153,8.1,611,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
205,17500000,Hotel Rwanda,19.051,2004-03-04,38000000,121,7.7,2258,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
206,0,Paradise Found,5.812,2003-01-01,0,89,6.7,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
207,16400000,Dead Poets Society,34.176,1989-06-02,235860116,128,8.3,8964,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
211,0,Berlin is in Germany,3.291,2001-11-01,0,97,5.7,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
212,1120175,Arsenic and Old Lace,10.075,1944-09-01,0,118,7.6,673,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,4000000,North by Northwest,31.055,1959-07-08,13275000,136,8.0,3175,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
214,10000000,Saw III,71.168,2006-10-27,163876815,114,6.4,3466,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
215,4000000,Saw II,71.556,2005-10-28,152925093,89,6.6,4129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
216,130000,Angst essen Seele auf,9.762,1974-06-05,0,93,7.7,267,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
217,185000000,Indiana Jones and the Kingdom of the Crystal Skull,35.32,2008-05-21,786636033,122,6.0,6618,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,6400000,The Terminator,76.401,1984-10-26,78371200,108,7.6,10297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
219,12899867,Volver,11.491,2006-03-17,85582407,121,7.5,1289,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
220,1,East of Eden,15.364,1955-04-10,5,115,7.6,549,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
